"Name","Hometown","Year","Sport"
"Kyle Potthoff","Chesterfield, Mo.",2021,"baseball"
"Eric Rinzel","Chanhassen, Minn.",2021,"baseball"
"Steven Sanchez","Mundelein, Ill.",2021,"baseball"
"Nick Schmit","Redondo Beach, Calif.",2021,"baseball"
"Chase Van Dyk","Frisco, Texas",2021,"baseball"
"Juju Stevens","Woodbridge, Conn.",2022,"baseball"
"Mike Coletta","Flushing, N.Y.",2022,"baseball"
"Tre Morris","Columbia, Mo.",2022,"baseball"
"Nander De Sedas","Panama City, Panama",2022,"baseball"
"Josh Day","Natchez, Miss.",2022,"baseball"
"Dexter Swims","St. Louis, Mo.",2022,"baseball"
"Ross Lovich","Overland Park, Kan.",2022,"baseball"
"Spencer Miles","Columbia, Mo.",2022,"baseball"
"Ty Wilmsmeyer","Springfield, Mo.",2022,"baseball"
"Jackson Beaman","Lincoln, Mo.",2022,"baseball"
"Luke  Mann","St. Louis, Mo.",2022,"baseball"
"Justin Colon","Carolina, Puerto Rico",2022,"baseball"
"Garrett Rice","Willard, Mo.",2022,"baseball"
"Isaiah Frost","Lee's Summit, Mo.",2022,"baseball"
"Ben Pedersen","Duluth, Minn.",2022,"baseball"
"Shea McGahan","St. Louis, Mo.",2022,"baseball"
"Trevor Austin","Jefferson City, Mo.",2022,"baseball"
"Jacob Kush","Guelph, Ontario, Canada",2022,"baseball"
"Ian Lohse","St. Louis, Mo.",2022,"baseball"
"Hector Mangual","Rio Grande, Puerto Rico",2022,"baseball"
"Austin Troesser","Loose Creek, Mo.",2022,"baseball"
"Torin Montgomery","Kirkland, Wash.",2022,"baseball"
"Carlos Peña","Bayside, N.Y.",2022,"baseball"
"Garrison Bennett","Green Oaks, Ill.",2022,"baseball"
"Carter Rustad","Kansas City, Mo.",2022,"baseball"
"Drew Garrett","Columbia, Mo.",2022,"baseball"
"Nathan Landry","Victoriaville, Quebec, Canada",2022,"baseball"
"Parker Wright","Columbia, Mo.",2022,"baseball"
"Holden Phelps","Crystal Lake, Ill.",2022,"baseball"
"Shane Wilhelm","Columbia, Ill.",2022,"baseball"
"Zach Hise","Joliet, Ill.",2022,"baseball"
"Fox Leum","Excelsior, Minn.",2022,"baseball"
